Marca;Modelo;Tipo;Version;Anio;Precio
Agrale;Marrua;Pickup;C/S 2,8 AM 100 4X4;2017;26353
Agrale;Marrua;Pickup;C/S 2,8 AM 100 4X4;2016;24629
Agrale;Marrua;Pickup;C/S 2,8 AM 100 4X4;2015;22776
Agrale;Marrua;Pickup;C/S 2,8 AM 100 4X4;2014;20907
Agrale;Marrua;Pickup;D/C 2,8 AM 100 4X4;2017;28305
Agrale;Marrua;Pickup;D/C 2,8 AM 100 4X4;2016;26453
Agrale;Marrua;Pickup;D/C 2,8 AM 100 4X4;2015;24171
Agrale;Marrua;Pickup;D/C 2,8 AM 100 4X4;2014;22187
Agrale;Marrua;Pickup;D/C 2,8 AM 150 4X4;2017;32209
Agrale;Marrua;Pickup;D/C 2,8 AM 150 4X4;2016;30102
Agrale;Marrua;Pickup;D/C 2,8 AM 150 4X4;2015;27425
Agrale;Marrua;Pickup;D/C 2,8 AM 150 4X4;2014;25173
Agrale;Marrua;Pickup;D/C 2,8 AM 200 4X4;2023;46327
Agrale;Marrua;Pickup;D/C 2,8 AM 200 4X4;2022;44121
Agrale;Marrua;Pickup;D/C 2,8 AM 200 4X4;2021;42020
Agrale;Marrua;Pickup;D/C 2,8 AM 200 4X4;2020;40019
Agrale;Marrua;Pickup;D/C 2,8 AM 200 4X4;2019;38114
Agrale;Marrua;Pickup;D/C 2,8 AM 200 4X4;2017;34649
Agrale;Marrua;Pickup;D/C 2,8 AM 200 4X4;2016;32382
Agrale;Marrua;Pickup;D/C 2,8 AM 200 4X4;2015;29749
Agrale;Marrua;Pickup;D/C 2,8 AM 200 4X4;2014;27307
Agrale;Marrua;Pickup;C/S 3,8 EUROVI AM 250 S/CAJA 4X4;2025;122826
Agrale;Marrua;Pickup;D/C 3,8 EUROVI AM 250 S/CAJA 4X4;2025;131679
Agrale;Marrua;Pickup;C/S 3,8 EUROVI AM 250 C/CAJA 4X4;2025;130869
Agrale;Marrua;Pickup;D/C 3,8 EUROVI AM 250 C/CAJA 4X4;2025;138432
Agrale;Marrua;Pickup;D/C 3,8 EUROVI AM 250 C/CAJA AT 4X4;2025;155313
Alfa Romeo;159;Auto;4P 2,2 JTS 189CV S-SPEED DISTINCTIVE;2014;24104
Alfa Romeo;159;Pickup;4P 3,2 JTS HIGHT 4X4 CA ELEGANCE;2014;25398
Alfa Romeo;Giulia;Auto;4P 2,0 T AT RDW 200CV DISTINCTIVE;2021;44922
Alfa Romeo;Giulia;Auto;4P 2,0 T AT RDW 200CV DISTINCTIVE;2020;42783
Alfa Romeo;Giulia;Auto;4P 2,0 T AT RDW 200CV DISTINCTIVE;2019;40644
Alfa Romeo;Giulia;Auto;4P 2,0 T AT RDW 200CV DISTINCTIVE;2018;38611
Alfa Romeo;Giulia;Auto;4P 2,0 T AT RDW 200CV DISTINCTIVE 2020;2023;58583
Alfa Romeo;Giulia;Auto;4P 2,0 T AT RDW 200CV DISTINCTIVE 2020;2022;54244
Alfa Romeo;Giulia;Auto;4P 2,0 T AT RDW 200CV DISTINCTIVE 2020;2021;51661
Alfa Romeo;Giulia;Auto;4P 2,0 T AT RDW 200CV DISTINCTIVE 2020;2020;49201
Alfa Romeo;Giulia;Auto;4P 2,0 T AT AWD 280CV VELOCE;2021;55052
Alfa Romeo;Giulia;Auto;4P 2,0 T AT AWD 280CV VELOCE;2020;52431
Alfa Romeo;Giulia;Auto;4P 2,0 T AT AWD 280CV VELOCE;2019;49809
Alfa Romeo;Giulia;Auto;4P 2,0 T AT AWD 280CV VELOCE;2018;47319
Alfa Romeo;Giulia;Auto;4P 2,0 T AT AWD 280CV VELOCE 2020;2025;79990
Alfa Romeo;Giulia;Auto;4P 2,0 T AT AWD 280CV VELOCE 2020;2024;72662
Alfa Romeo;Giulia;Auto;4P 2,0 T AT AWD 280CV VELOCE 2020;2023;69201
Alfa Romeo;Giulia;Auto;4P 2,0 T AT AWD 280CV VELOCE 2020;2022;64075
Alfa Romeo;Giulia;Auto;4P 2,0 T AT AWD 280CV VELOCE 2020;2021;61024
Alfa Romeo;Giulia;Auto;4P 2,0 T AT AWD 280CV VELOCE 2020;2020;58118
Alfa Romeo;Giulia;Auto;4P 2,9 BT AT RDW 510CV QUADRIFOGLIO;2020;119610
Alfa Romeo;Giulia;Auto;4P 2,9 BT AT RDW 510CV QUADRIFOGLIO;2019;113630
Alfa Romeo;Giulia;Auto;4P 2,9 BT AT RDW 510CV QUADRIFOGLIO;2018;105213
Alfa Romeo;Giulia;Auto;4P 2,9 BT AT RDW 510CV QUADRIFOGLIO 2020;2024;202810
Alfa Romeo;Giulia;Auto;4P 2,9 BT AT RDW 510CV QUADRIFOGLIO 2020;2023;192669
Alfa Romeo;Giulia;Auto;4P 2,9 BT AT RDW 510CV QUADRIFOGLIO 2020;2022;178397
Alfa Romeo;Giulia;Auto;4P 2,9 BT AT RDW 510CV QUADRIFOGLIO 2020;2021;169902
Alfa Romeo;Giulia;Auto;4P 2,9 BT AT RDW 510CV QUADRIFOGLIO 2020;2020;161812
Alfa Romeo;Giulia;Auto;4P 2,9 BT 8AT 520CV QV SUPER SPORT 2025;2025;266200
Alfa Romeo;Giulietta;Auto;5P 1,4 120CV PROG. SPRINT M6;2020;24904
Alfa Romeo;Giulietta;Auto;5P 1,4 120CV PROG. SPRINT M6;2019;24055
Alfa Romeo;Giulietta;Auto;5P 1,4 120CV PROG. SPRINT M6;2018;22182
Alfa Romeo;Giulietta;Auto;5P 1,4 120CV PROG. SPRINT M6;2017;21468
Alfa Romeo;Giulietta;Auto;5P 1,4 120CV PROG. SPRINT M6;2016;20253
Alfa Romeo;Giulietta;Auto;5P 1,4 120CV PROG. SPRINT M6 CRO MILANO;2020;26564
Alfa Romeo;Giulietta;Auto;5P 1,4 120CV PROG. SPRINT M6 CRO MILANO;2019;25658
Alfa Romeo;Giulietta;Auto;5P 1,4 120CV PROG. SPRINT M6 CRO MILANO;2018;23661
Alfa Romeo;Giulietta;Auto;5P 1,4 120CV PROG. SPRINT M6 CRO MILANO;2017;22899
Alfa Romeo;Giulietta;Auto;5P 1,4 120CV PROG. SPRINT M6 CRO MILANO;2016;21603
Alfa Romeo;Giulietta;Auto;5P 1,4 120CV PROG. SPRINT M6 CRO MILANO TECHNOLOGY;2020;27124
Alfa Romeo;Giulietta;Auto;5P 1,4 120CV PROG. SPRINT M6 CRO MILANO TECHNOLOGY;2019;26199
Alfa Romeo;Giulietta;Auto;5P 1,4 120CV PROG. SPRINT M6 CRO MILANO TECHNOLOGY;2018;24159
Alfa Romeo;Giulietta;Auto;5P 1,4 120CV PROG. SPRINT M6 CRO MILANO TECHNOLOGY;2017;23381
Alfa Romeo;Giulietta;Auto;5P 1,4 120CV PROG. SPRINT M6 CRO MILANO TECHNOLOGY;2016;22058
Alfa Romeo;Giulietta;Auto;5P 1,4 120CV PROG. SPRINT M6 CRO MILANO NAV;2018;24375
Alfa Romeo;Giulietta;Auto;5P 1,4 120CV PROG. SPRINT M6 CRO MILANO NAV;2017;23590
Alfa Romeo;Giulietta;Auto;5P 1,4 120CV PROGRESSION;2015;18451
Alfa Romeo;Giulietta;Auto;5P 1,4 120CV PROGRESSION;2014;17603
Alfa Romeo;Giulietta;Auto;5P 1,4 120CV PROGRESSION CRO MILANO;2015;19596
